CIP_Occupation_Title,NSSBIC_Occupation_Title
"Human Resources Management/Personnel Administration, General",Business & Administrative Services
Human Resources Development   (New),Business & Administrative Services
"Human Resources Management/Personnel Administration, General",Business & Administrative Services
Labor & Industrial Relations,Business & Administrative Services
Labor Studies   (New),Business & Administrative Services
"Business/Commerce, General",Business & Administrative Services
Business Administration/Management,"Manufacturing, Installation & Repair"
Operations Management & Supervision,"Manufacturing, Installation & Repair"
"Purchasing, Procurement/Acquisitions & Contracts Management","Retail & Wholesale Trade, Real Estate & Personal Services"
Public Administration,Transportation
"Aeronautics/Aviation/Aerospace Science & Technology, General",Transportation
Aviation/Airway Management & Operations,Transportation
"Business/Commerce, General",Transportation
Business Administration/Management,Transportation
Logistics & Materials Management,Transportation
Transportation/Transportation Management  (New),Transportation
Public Administration,Transportation
"Aeronautics/Aviation/Aerospace Science & Technology, General",Transportation
Aviation/Airway Management & Operations,Transportation
Business Administration/Management,Transportation
Logistics & Materials Management,Transportation
Transportation/Transportation Management  (New),Transportation
Public Administration,Transportation
"Aeronautics/Aviation/Aerospace Science & Technology, General",Transportation
Aviation/Airway Management & Operations,Transportation
Business Administration/Management,Transportation
Logistics & Materials Management,Transportation
Transportation/Transportation Management  (New),Transportation
"Agricultural Business & Management, General","Agriculture, Forestry, & Fishing"
Agribusiness/Agricultural Business Operations,"Agriculture, Forestry, & Fishing"
Farm/Farm & Ranch Management,"Agriculture, Forestry, & Fishing"
"Agricultural Business & Management, Other","Agriculture, Forestry, & Fishing"
"Agricultural Production Operations, General","Agriculture, Forestry, & Fishing"
Animal/Livestock Husbandry & Production,"Agriculture, Forestry, & Fishing"
Crop Production,"Agriculture, Forestry, & Fishing"
Dairy Husbandry & Production  (New),"Agriculture, Forestry, & Fishing"
Horse Husbandry/Equine Science & Management  (New),"Agriculture, Forestry, & Fishing"
"Agricultural Production Operations, Other","Agriculture, Forestry, & Fishing"
Ornamental Horticulture,"Agriculture, Forestry, & Fishing"
Greenhouse Operations & Management,"Agriculture, Forestry, & Fishing"
Plant Nursery Operations & Management,"Agriculture, Forestry, & Fishing"
"Animal Sciences, General","Agriculture, Forestry, & Fishing"
Agricultural Animal Breeding,"Agriculture, Forestry, & Fishing"
Animal Nutrition,"Agriculture, Forestry, & Fishing"
Dairy Science,"Agriculture, Forestry, & Fishing"
Livestock Management  (New),"Agriculture, Forestry, & Fishing"
Poultry Science  (New),"Agriculture, Forestry, & Fishing"
"Plant Sciences, General","Agriculture, Forestry, & Fishing"
Agronomy & Crop Science,"Agriculture, Forestry, & Fishing"
Horticultural Science,"Agriculture, Forestry, & Fishing"
Plant Protection & Integrated Pest Management,"Agriculture, Forestry, & Fishing"
Range Science & Management,"Agriculture, Forestry, & Fishing"
"Agricultural Business & Management, General","Agriculture, Forestry, & Fishing"
Agribusiness/Agricultural Business Operations,"Agriculture, Forestry, & Fishing"
Ornamental Horticulture,"Agriculture, Forestry, & Fishing"
Greenhouse Operations & Management,"Agriculture, Forestry, & Fishing"
Plant Nursery Operations & Management,"Agriculture, Forestry, & Fishing"
Horticultural Science,"Agriculture, Forestry, & Fishing"
Plant Protection & Integrated Pest Management,"Agriculture, Forestry, & Fishing"
"Agricultural Business & Management, General","Agriculture, Forestry, & Fishing"
Agribusiness/Agricultural Business Operations,"Agriculture, Forestry, & Fishing"
Farm/Farm & Ranch Management,"Agriculture, Forestry, & Fishing"
"Agricultural Business & Management, Other","Agriculture, Forestry, & Fishing"
"Agricultural Production Operations, General","Agriculture, Forestry, & Fishing"
Animal/Livestock Husbandry & Production,"Agriculture, Forestry, & Fishing"
Crop Production,"Agriculture, Forestry, & Fishing"
Dairy Husbandry & Production  (New),"Agriculture, Forestry, & Fishing"
Horse Husbandry/Equine Science & Management  (New),"Agriculture, Forestry, & Fishing"
"Agricultural Production Operations, Other","Agriculture, Forestry, & Fishing"
"Animal Sciences, General","Agriculture, Forestry, & Fishing"
Agricultural Animal Breeding,"Agriculture, Forestry, & Fishing"
Animal Nutrition,"Agriculture, Forestry, & Fishing"
Dairy Science,"Agriculture, Forestry, & Fishing"
Livestock Management  (New),"Agriculture, Forestry, & Fishing"
Poultry Science  (New),"Agriculture, Forestry, & Fishing"
"Plant Sciences, General","Agriculture, Forestry, & Fishing"
Agronomy & Crop Science,"Agriculture, Forestry, & Fishing"
Horticultural Science,"Agriculture, Forestry, & Fishing"
Plant Protection & Integrated Pest Management,"Agriculture, Forestry, & Fishing"
Range Science & Management,"Agriculture, Forestry, & Fishing"
"Agricultural Business & Management, General","Agriculture, Forestry, & Fishing"
Agribusiness/Agricultural Business Operations,"Agriculture, Forestry, & Fishing"
Farm/Farm & Ranch Management,"Agriculture, Forestry, & Fishing"
"Agricultural Business & Management, Other","Agriculture, Forestry, & Fishing"
"Agricultural Production Operations, General","Agriculture, Forestry, & Fishing"
Animal/Livestock Husbandry & Production,"Agriculture, Forestry, & Fishing"
Crop Production,"Agriculture, Forestry, & Fishing"
"Agricultural Production Operations, Other","Agriculture, Forestry, & Fishing"
"Agricultural Business & Management, General","Agriculture, Forestry, & Fishing"
Agribusiness/Agricultural Business Operations,"Agriculture, Forestry, & Fishing"
Farm/Farm & Ranch Management,"Agriculture, Forestry, & Fishing"
"Agricultural Production Operations, General","Agriculture, Forestry, & Fishing"
Animal/Livestock Husbandry & Production,"Agriculture, Forestry, & Fishing"
Aquaculture,"Agriculture, Forestry, & Fishing"
Crop Production,"Agriculture, Forestry, & Fishing"
Dairy Husbandry & Production  (New),"Agriculture, Forestry, & Fishing"
"Agricultural Production Operations, Other","Agriculture, Forestry, & Fishing"
Ornamental Horticulture,"Agriculture, Forestry, & Fishing"
Greenhouse Operations & Management,"Agriculture, Forestry, & Fishing"
Plant Nursery Operations & Management,"Agriculture, Forestry, & Fishing"
"Animal Sciences, General","Agriculture, Forestry, & Fishing"
Agricultural Animal Breeding,"Agriculture, Forestry, & Fishing"
Animal Nutrition,"Agriculture, Forestry, & Fishing"
Dairy Science,"Agriculture, Forestry, & Fishing"
Livestock Management  (New),"Agriculture, Forestry, & Fishing"
Poultry Science  (New),"Agriculture, Forestry, & Fishing"
"Plant Sciences, General","Agriculture, Forestry, & Fishing"
Agronomy & Crop Science,"Agriculture, Forestry, & Fishing"
Horticultural Science,"Agriculture, Forestry, & Fishing"
Plant Protection & Integrated Pest Management,"Agriculture, Forestry, & Fishing"
Range Science & Management,"Agriculture, Forestry, & Fishing"
Construction Engineering Technology/Technician,Construction
"Business/Commerce, General",Construction
Business Administration/Management,Construction
Operations Management & Supervision,Construction
"This is a broad SOC occupation. For related CIP programs, see more detailed O*NET occupations listed below",Education & Training
"Educational Leadership & Administration, General",Education & Training
"Educational, Instructional, & Curriculum Supervision",Education & Training
Elementary & Middle School Administration/Principalship   (New),Education & Training
"Educational Administration & Supervision, Other",Education & Training
"Educational Leadership & Administration, General",Education & Training
"Educational, Instructional, & Curriculum Supervision",Education & Training
Elementary & Middle School Administration/Principalship   (New),Education & Training
Secondary School Administration/Principalship  (New),Education & Training
"Educational Administration & Supervision, Other",Education & Training
"Educational Leadership & Administration, General",Education & Training
"Educational, Instructional, & Curriculum Supervision",Education & Training
Higher Education/Higher Education Administration,Education & Training
Community College Education,Education & Training
"Educational Administration & Supervision, Other",Education & Training
"Educational Leadership & Administration, General",Education & Training
Administration of Special Education,Education & Training
Adult & Continuing Education Administration,Education & Training
"Educational, Instructional, & Curriculum Supervision",Education & Training
Higher Education/Higher Education Administration,Education & Training
Elementary & Middle School Administration/Principalship   (New),Education & Training
Urban Education & Leadership  (New),Education & Training
Superintendency & Educational System Administration (New),Education & Training
"Architecture (BArch, BA/BS, MArch, MA/MS, PhD)",Scientific & Technical Services
"City/Urban, Community & Regional Planning",Scientific & Technical Services
Environmental Design/Architecture,Scientific & Technical Services
Interior Architecture,Scientific & Technical Services
"Landscape Architecture (BS, BSLA, BLA, MSLA, MLA, PhD)",Scientific & Technical Services
"Engineering, General",Scientific & Technical Services
"Aerospace, Aeronautical & Astronautical Engineering",Scientific & Technical Services
Agricultural/Biological Engineering & Bioengineering,Scientific & Technical Services
Architectural Engineering,Scientific & Technical Services
Biomedical/Medical Engineering,Scientific & Technical Services
Ceramic Sciences & Engineering,Scientific & Technical Services
Chemical Engineering,Scientific & Technical Services
"Civil Engineering, General",Scientific & Technical Services
Geotechnical Engineering,Scientific & Technical Services
Structural Engineering,Scientific & Technical Services
Transportation & Highway Engineering,Scientific & Technical Services
Water Resources Engineering,Scientific & Technical Services
"Civil Engineering, Other",Scientific & Technical Services
"Computer Engineering, General",Scientific & Technical Services
Computer Hardware Engineering  (New),Scientific & Technical Services
Computer Software Engineering  (New),Scientific & Technical Services
"Computer Engineering, Other  (New)",Scientific & Technical Services
"Electrical, Electronics & Communications Engineering",Scientific & Technical Services
Engineering Mechanics,Scientific & Technical Services
Engineering Physics,Scientific & Technical Services
Engineering Science,Scientific & Technical Services
Environmental/Environmental Health Engineering,Scientific & Technical Services
Materials Engineering,Scientific & Technical Services
Mechanical Engineering,Scientific & Technical Services
Metallurgical Engineering,Scientific & Technical Services
Mining & Mineral Engineering,Scientific & Technical Services
Naval Architecture & Marine Engineering,Scientific & Technical Services
Nuclear Engineering,Scientific & Technical Services
Ocean Engineering,Scientific & Technical Services
Petroleum Engineering,Scientific & Technical Services
Systems Engineering,Scientific & Technical Services
Textile Sciences & Engineering,Scientific & Technical Services
Materials Science,Scientific & Technical Services
Polymer/Plastics Engineering,Scientific & Technical Services
Construction Engineering   (New),Scientific & Technical Services
Forest Engineering  (New),Scientific & Technical Services
Industrial Engineering  (New),Scientific & Technical Services
Manufacturing Engineering   (New),Scientific & Technical Services
Surveying Engineering  (New),Scientific & Technical Services
Geological/Geophysical Engineering  (New),Scientific & Technical Services
"Engineering, Other",Scientific & Technical Services
"Restaurant, Culinary, & Catering Management/Manager","Restaurants, Hotels, & Hospitality"
"Hospitality Administration/Management, General","Restaurants, Hotels, & Hospitality"
Hotel/Motel Administration/Management   (New),"Restaurants, Hotels, & Hospitality"
Restaurant/Food Services Management   (New),"Restaurants, Hotels, & Hospitality"
"Funeral Service & Mortuary Science, General","Retail & Wholesale Trade, Real Estate & Personal Services"
Funeral Direction/Service  (New),"Retail & Wholesale Trade, Real Estate & Personal Services"
"Personal & Culinary Services, Other","Restaurants, Hotels, & Hospitality"
Selling Skills & Sales Operations,"Restaurants, Hotels, & Hospitality"
"Hospitality Administration/Management, General","Restaurants, Hotels, & Hospitality"
Hotel/Motel Administration/Management   (New),"Restaurants, Hotels, & Hospitality"
Resort Management   (New),"Restaurants, Hotels, & Hospitality"
Hospitality and Recreation Marketing Operations,"Restaurants, Hotels, & Hospitality"
Health/Health Care Administration/Management,Health & Human Services
Hospital & Health Care Facilities Administration/Management,Health & Human Services
Health Unit Manager/Ward Supervisor,Health & Human Services
Health Information/Medical Records Administration/Administrator,Health & Human Services
"Health & Medical Administrative Services, Other",Health & Human Services
"Nursing Administration (MSN, MS, PhD)",Health & Human Services
"Public Health, General (MPH, DPH)",Health & Human Services
Community Health & Preventive Medicine    (New),Health & Human Services
Health Services Administration   (New),Health & Human Services
Operations Research,Scientific & Technical Services
"Biology/Biological Sciences, General",Scientific & Technical Services
Biochemistry,Scientific & Technical Services
Biophysics,Scientific & Technical Services
Molecular Biology,Scientific & Technical Services
Radiation Biology/Radiobiology,Scientific & Technical Services
Botany/Plant Biology,Scientific & Technical Services
Plant Pathology/Phytopathology,Scientific & Technical Services
Plant Physiology,Scientific & Technical Services
"Botany/Plant Biology, Other",Scientific & Technical Services
Cell/Cellular Biology & Histology,Scientific & Technical Services
Anatomy,Scientific & Technical Services
"Cell/Cellular Biology & Anatomical Sciences, Other",Scientific & Technical Services
"Microbiology, General  (New)",Scientific & Technical Services
Medical Microbiology & Bacteriology,Scientific & Technical Services
Virology,Scientific & Technical Services
Parasitology,Scientific & Technical Services
Immunology,Scientific & Technical Services
Ecology,Scientific & Technical Services
Marine Biology & Biological Oceanography,Scientific & Technical Services
Evolutionary Biology,Scientific & Technical Services
"Ecology, Evolution, & Systematics, Other  (New)",Scientific & Technical Services
Zoology/Animal Biology,Scientific & Technical Services
Entomology,Scientific & Technical Services
Animal Physiology,Scientific & Technical Services
"Zoology/Animal Biology, Other",Scientific & Technical Services
Animal Genetics,Scientific & Technical Services
Plant Genetics,Scientific & Technical Services
Pathology/Experimental Pathology  (New),Scientific & Technical Services
Pharmacology,Scientific & Technical Services
Toxicology,Scientific & Technical Services
Biometry/Biometrics,Scientific & Technical Services
Biostatistics,Scientific & Technical Services
Biotechnology,Scientific & Technical Services
"Biological & Biomedical Sciences, Other",Scientific & Technical Services
"Mathematics, General",Scientific & Technical Services
Algebra & Number Theory  (New),Scientific & Technical Services
Analysis & Functional Analysis  (New),Scientific & Technical Services
Geometry/Geometric Analysis  (New),Scientific & Technical Services
Topology & Foundations  (New),Scientific & Technical Services
Applied Mathematics,Scientific & Technical Services
Computational Mathematics  (New),Scientific & Technical Services
"Applied Mathematics, Other",Scientific & Technical Services
"Statistics, General",Scientific & Technical Services
"Mathematics & Statistics, Other",Scientific & Technical Services
Biological & Physical Sciences,Scientific & Technical Services
Mathematics & Computer Science,Scientific & Technical Services
Biopsychology,Scientific & Technical Services
"Science, Technology & Society",Scientific & Technical Services
Natural Sciences  (New),Scientific & Technical Services
Nutrition Sciences,Scientific & Technical Services
Neuroscience,Scientific & Technical Services
Logic (New),Scientific & Technical Services
Physical Sciences,Scientific & Technical Services
Astronomy,Scientific & Technical Services
Astrophysics (New),Scientific & Technical Services
Planetary Astronomy & Science  (New),Scientific & Technical Services
"Atmospheric Sciences & Meteorology, General",Scientific & Technical Services
Atmospheric Chemistry & Climatology  (New),Scientific & Technical Services
Atmospheric Physics & Dynamics  (New),Scientific & Technical Services
Meteorology  (New),Scientific & Technical Services
"Atmospheric Sciences & Meteorology, Other  (New)",Scientific & Technical Services
"Chemistry, General",Scientific & Technical Services
Analytical Chemistry,Scientific & Technical Services
Inorganic Chemistry,Scientific & Technical Services
Organic Chemistry,Scientific & Technical Services
Physical & Theoretical Chemistry,Scientific & Technical Services
Polymer Chemistry,Scientific & Technical Services
Chemical Physics (New),Scientific & Technical Services
"Chemistry, Other",Scientific & Technical Services
"Geology/Earth Science, General",Scientific & Technical Services
Geochemistry,Scientific & Technical Services
Geophysics & Seismology,Scientific & Technical Services
Paleontology,Scientific & Technical Services
Hydrology & Water Resources Science  (New),Scientific & Technical Services
Geochemistry & Petrology  (New),Scientific & Technical Services
"Oceanography, Chemical & Physical  (New)",Scientific & Technical Services
"Geological & Earth Sciences/Geosciences, Other",Scientific & Technical Services
"Physics, General",Scientific & Technical Services
Atomic/Molecular Physics,Scientific & Technical Services
Elementary Particle Physics,Scientific & Technical Services
Plasma & High-Temperature Physics,Scientific & Technical Services
Nuclear Physics,Scientific & Technical Services
Optics/Optical Sciences,Scientific & Technical Services
Solid State & Low-Temperature Physics,Scientific & Technical Services
Acoustics,Scientific & Technical Services
Theoretical & Mathematical Physics,Scientific & Technical Services
"Physics, Other",Scientific & Technical Services
"Physical Sciences, Other",Scientific & Technical Services
Public Administration,Transportation
Real Estate,"Retail & Wholesale Trade, Real Estate & Personal Services"
"Human Services, General  (New)",Public Administration & Legal Services
Community Organization & Advocacy,Public Administration & Legal Services
Public Administration,Public Administration & Legal Services
"Business/Commerce, General   (New)",Public Administration & Legal Services
Business Administration/Management,Public Administration & Legal Services
Non-Profit/Public/Organizational Management,Public Administration & Legal Services
Entrepreneurship/Entrepreneurial Studies,Public Administration & Legal Services
"Business, Management, Marketing, & Related Support Services,",Public Administration & Legal Services
Public Administration,Residual occupation not assigned to a cluster
"Public Administration & Services, Other",Residual occupation not assigned to a single cluster
Theatre/Theatre Arts Management,Residual occupation not assigned to a single cluster
Arts Management,Residual occupation not assigned to a single cluster
"Business/Commerce, General   (New)",Residual occupation not assigned to a single cluster
Business Administration/Management,Residual occupation not assigned to a single cluster
Non-Profit/Public/Organizational Management,Residual occupation not assigned to a single cluster
Transportation?Transportation Management  (New),Residual occupation not assigned to a single cluster
"Business/Managerial Operations, Other",Residual occupation not assigned to a single cluster
Entrepreneurship/Entrepreneurial Studies,Residual occupation not assigned to a single cluster
Franchising & Franchise Operations,Residual occupation not assigned to a single cluster
Small Business Administration/Management   (New),Residual occupation not assigned to a single cluster
"Entrepreneurial & Small Business Operations, Other",Residual occupation not assigned to a single cluster
Tourism & Travel Services Management,Residual occupation not assigned to a single cluster
"Hospitality Administration/Management, Other",Residual occupation not assigned to a single cluster
"Business, Management, Marketing, & Related Support Services,",Residual occupation not assigned to a single cluster
Arts Management,"Communications, Entertainment, & Information"
"Purchasing, Procurement/Acquisitions & Contracts Management","Communications, Entertainment, & Information"
Agricultural/Farm Supplies Retailing & Wholesaling,"Agriculture, Forestry, & Fishing"
Apparel & Textile Marketing Management  (New),"Retail & Wholesale Trade, Real Estate & Personal Services"
"Sales, Distribution, & Marketing Operations, General","Retail & Wholesale Trade, Real Estate & Personal Services"
"Sales, Distribution, and Marketing Operations, General","Retail & Wholesale Trade, Real Estate & Personal Services"
Merchandising & Buying Operations,"Retail & Wholesale Trade, Real Estate & Personal Services"
Fashion Merchandising,"Retail & Wholesale Trade, Real Estate & Personal Services"
Apparel and Accessories Marketing Operations,"Retail & Wholesale Trade, Real Estate & Personal Services"
"Sales, Distribution, & Marketing Operations, General","Manufacturing, Installation & Repair"
"Sales, Distribution, and Marketing Operations, General","Manufacturing, Installation & Repair"
Merchandising and Buying Operations,"Manufacturing, Installation & Repair"
"This is a broad SOC occupation. For related CIP programs, see detailed O*NET occupations listed below.",Finance & Insurance
Health/Medical Claims Examiner   (New),Finance & Insurance
Insurance,Finance & Insurance
Health/Medical Claims Examiner   (New),Finance & Insurance
Insurance,Finance & Insurance
Insurance,Finance & Insurance
No related CIP programs,Public Administration & Legal Services
No related CIP programs,Public Administration & Legal Services
No related CIP programs,Public Administration & Legal Services
No related CIP programs,Public Administration & Legal Services
No related CIP programs,Public Administration & Legal Services
No related CIP programs,Public Administration & Legal Services
No related CIP programs,Public Administration & Legal Services
Materials Engineering,Construction
Mechanical Engineering,Construction
Construction Engineering   (New),Construction
Manufacturing Engineering   (New),Construction
"Finance, General",Finance & Insurance
Construction Engineering Technology/Technician,Construction
"Business/Commerce, General   (New)",Construction
Business Administration/Management,Construction
"This is a broad SOC occupation. For related CIP programs, see detailed O*NET occupations listed below.",Business & Administrative Services
"Human Resources Management/Personnel Administration, General",Business & Administrative Services
Labor & Industrial Relations,Business & Administrative Services
"Human Resources Management/Personnel Administration, General",Business & Administrative Services
Labor & Industrial Relations,Business & Administrative Services
"Human Resources Management/Personnel Administration, General",Business & Administrative Services
Labor & Industrial Relations,Business & Administrative Services
"Human Resources Management/Personnel Administration, General",Business & Administrative Services
Labor & Industrial Relations,Business & Administrative Services
"Human Resources Management/Personnel Administration, General",Business & Administrative Services
Organizational Behavior Studies,Business & Administrative Services
"Human Resources Management/Personnel Administration, General",Business & Administrative Services
Labor & Industrial Relations,Business & Administrative Services
Organizational Behavior Studies,Business & Administrative Services
"Human Resources Management & Services, Other",Business & Administrative Services
Logistics & Materials Management,Business & Administrative Services
Operations Management & Supervision,Business & Administrative Services
Transportation?Transportation Management  (New),Business & Administrative Services
"Business/Commerce, General   (New)",Business & Administrative Services
Business Administration/Management,Business & Administrative Services
Selling Skills & Sales Operations,"Restaurants, Hotels, & Hospitality"
No related CIP programs,Business & Administrative Services
Community Organization & Advocacy,Public Administration & Legal Services
Public Administration,Public Administration & Legal Services
"Business, Management, Marketing, & Related Support Services,",Business & Administrative Services
Accounting & Computer Science  (New),Business & Administrative Services
Accounting,Business & Administrative Services
Auditing   (New),Business & Administrative Services
Accounting & Finance   (New),Business & Administrative Services
Accounting & Business/Management   (New),Business & Administrative Services
Taxation,Business & Administrative Services
Accounting & Computer Science  (New),Business & Administrative Services
Accounting,Business & Administrative Services
Accounting and Finance   (NEW),Business & Administrative Services
Accounting & Business/Management   (New),Business & Administrative Services
Accounting & Computer Science  (New),Business & Administrative Services
Accounting,Business & Administrative Services
Auditing   (New),Business & Administrative Services
Accounting & Finance   (New),Business & Administrative Services
Accounting & Business/Management   (New),Business & Administrative Services
Real Estate,"Retail & Wholesale Trade, Real Estate & Personal Services"
Real Estate,Public Administration & Legal Services
Real Estate,"Retail & Wholesale Trade, Real Estate & Personal Services"
Accounting,Business & Administrative Services
"Finance, General",Business & Administrative Services
Accounting,Finance & Insurance
"Finance, General",Finance & Insurance
Credit Management   (New),Finance & Insurance
Accounting and Finance   (NEW),Finance & Insurance
"Finance, General",Finance & Insurance
Financial Planning & Services,Finance & Insurance
Insurance,Finance & Insurance
Accounting,Public Administration & Legal Services
Taxation,Public Administration & Legal Services
"This is a broad SOC occupation. For related CIP programs, see detailed O*NET occupations listed below.",Finance & Insurance
Banking & Financial Support Services,Finance & Insurance
"Finance & Financial Management Services, Other",Finance & Insurance
"Finance, General",Finance & Insurance
Credit Management   (New),Finance & Insurance
Accounting,Public Administration & Legal Services
Taxation,Public Administration & Legal Services
Accounting Technology/Technician & Bookkeeping,Business & Administrative Services
Taxation,Business & Administrative Services
"Finance, General",Business & Administrative Services
"This is a broad SOC occupation. For related CIP programs, see detailed O*NET occupations listed below.","Communications, Entertainment, & Information"
"Computer & Information Sciences, General","Communications, Entertainment, & Information"
Computer Science,"Communications, Entertainment, & Information"
Artificial Intelligence & Robotics  (New),"Communications, Entertainment, & Information"
Information Science/Studies,"Communications, Entertainment, & Information"
Computer Systems Analysis/Analyst,"Communications, Entertainment, & Information"
"Computer & Information Sciences & Support Services, Other","Communications, Entertainment, & Information"
Medical Informatics  (New),"Communications, Entertainment, & Information"
Artificial Intelligence & Robotics  (New),"Communications, Entertainment, & Information"
"Computer Programming/Programmer, General","Communications, Entertainment, & Information"
"Computer Programming, Specific Applications  (New)","Communications, Entertainment, & Information"
"Computer Programming, Vendor/Product Certification  (New)","Communications, Entertainment, & Information"
"Web Page, Digital/Multimedia & Information Resources Design  (New)","Communications, Entertainment, & Information"
Computer Graphics  (New),"Communications, Entertainment, & Information"
Web/Multimedia Management & Webmaster  (New),"Communications, Entertainment, & Information"
Bioinformatics  (New),"Communications, Entertainment, & Information"
Medical Office Computer Specialist/Assistant   (New),"Communications, Entertainment, & Information"
Medical Informatics  (New),"Communications, Entertainment, & Information"
E-Commerce/Electronic Commerce   (New),"Communications, Entertainment, & Information"
"Management Information Systems, General","Communications, Entertainment, & Information"
"This is a broad SOC occupation. For related CIP programs, see detailed O*NET occupations listed below.","Communications, Entertainment, & Information"
Computer Science,Scientific & Technical Services
Artificial Intelligence & Robotics  (New),Scientific & Technical Services
Information Technology  (New),Scientific & Technical Services
"Computer Engineering, General",Scientific & Technical Services
Computer Software Engineering  (New),Scientific & Technical Services
"Computer Engineering Technologies/Technicians, Other  (New)",Scientific & Technical Services
Bioinformatics  (New),Scientific & Technical Services
Medical Informatics  (New),Scientific & Technical Services
"Medical Illustration and Informatics, Other",Scientific & Technical Services
Computer Science,"Communications, Entertainment, & Information"
Artificial Intelligence & Robotics  (New),"Communications, Entertainment, & Information"
Information Technology  (New),"Communications, Entertainment, & Information"
Information Science/Studies,"Communications, Entertainment, & Information"
"Computer Engineering, General","Communications, Entertainment, & Information"
"Computer Engineering Technologies/Technicians, Other  (New)","Communications, Entertainment, & Information"
Agricultural Business Technology (New),"Communications, Entertainment, & Information"
Data Processing & Data Processing Technology/Technician,"Communications, Entertainment, & Information"
Computer Hardware Technology/Technician  (New),"Communications, Entertainment, & Information"
Computer Software Technology/Technician   (New),"Communications, Entertainment, & Information"
